NDserver Function Map
================================================================================

Code section: 0x00002d10-0x000075f8 (18664 bytes)
Total functions found: 92

Function List:
--------------------------------------------------------------------------------
Start        End          Size     Frame   Name
--------------------------------------------------------------------------------
0x00002d96  0x00002dc5      48      4  func_00002d96
0x00002dc6  0x0000305b     662     20  ND_GetBoardList
0x0000302c  0x0000305b      48      0  func_0000302c
0x0000305c  0x000031ff     420      0  func_0000305c
0x0000307c  0x000031ff     388      0  func_0000307c
0x000030c2  0x000031ff     318     28  func_000030c2
0x00003200  0x00003283     132     28  func_00003200
0x00003284  0x000033b3     304     64  func_00003284
0x000033b4  0x00003613     608     16  func_000033b4
0x00003614  0x0000366d      90      0  func_00003614
0x0000366e  0x0000368b      30      0  func_0000366e
0x0000368c  0x000036b1      38      0  func_0000368c
0x000036b2  0x0000381f     366      0  func_000036b2
0x00003820  0x00003873      84      0  func_00003820
0x00003874  0x0000399b     296      0  func_00003874
0x0000399c  0x00003cdb     832     12  func_0000399c
0x00003cdc  0x00003ddd     258     48  func_00003cdc
0x00003dde  0x00003ead     208     40  func_00003dde
0x00003eae  0x00003f39     140    548  func_00003eae
0x00003f3a  0x00004023     234     40  func_00003f3a
0x00004024  0x000040f3     208     40  func_00004024
0x000040f4  0x000041fd     266     72  func_000040f4
0x000041fe  0x000042e7     234     40  func_000041fe
0x000042e8  0x000043c5     222     40  func_000042e8
0x000043c6  0x000044d9     276     56  func_000043c6
0x000044da  0x000045f1     280     48  func_000044da
0x000045f2  0x00004709     280     48  func_000045f2
0x0000470a  0x00004821     280     48  func_0000470a
0x00004822  0x00004939     280     48  func_00004822
0x0000493a  0x00004a51     280     48  func_0000493a
0x00004a52  0x00004b6f     286    300  func_00004a52
0x00004b70  0x00004c87     280     48  func_00004b70
0x00004c88  0x00004d9f     280     48  func_00004c88
0x00004da0  0x00004e9f     256     48  func_00004da0
0x00004ea0  0x00004f63     196     32  func_00004ea0
0x00004f64  0x00005077     276   1068  func_00004f64
0x00005078  0x00005177     256     48  func_00005078
0x00005178  0x00005255     222     48  func_00005178
0x00005256  0x0000535b     262    308  func_00005256
0x0000535c  0x00005453     248    300  func_0000535c
0x00005454  0x0000553f     236     40  func_00005454
0x00005540  0x0000561d     222     40  func_00005540
0x0000561e  0x000056ef     210     40  func_0000561e
0x000056f0  0x0000577b     140    548  func_000056f0
0x0000577c  0x00005949     462    120  func_0000577c
0x0000594a  0x000059f7     174    812  func_0000594a
0x000059f8  0x00005a3d      70     32  func_000059f8
0x00005a3e  0x00005af5     184      0  func_00005a3e
0x00005af6  0x00005bb7     194      0  func_00005af6
0x00005bb8  0x00005c6f     184      0  func_00005bb8
0x00005c70  0x00005d25     182      0  func_00005c70
0x00005d26  0x00005d5f      58      0  func_00005d26
0x00005d60  0x00005da5      70     32  func_00005d60
0x00005da6  0x00005de9      68     32  func_00005da6
0x00005dea  0x00005ee9     256     68  func_00005dea
0x00005eea  0x00006035     332   7944  func_00005eea
0x00006036  0x000060d7     162      0  func_00006036
0x000060d8  0x00006155     126      0  func_000060d8
0x00006156  0x000061f3     158      0  func_00006156
0x000061f4  0x00006279     134      0  func_000061f4
0x0000627a  0x000062b7      62      0  func_0000627a
0x000062b8  0x000062e7      48      0  func_000062b8
0x000062e8  0x00006317      48      0  func_000062e8
0x00006318  0x0000633f      40      0  func_00006318
0x00006340  0x0000636b      44      0  func_00006340
0x0000636c  0x00006397      44      0  func_0000636c
0x00006398  0x000063bf      40      0  func_00006398
0x000063c0  0x000063e7      40      0  func_000063c0
0x000063e8  0x00006413      44      0  func_000063e8
0x00006414  0x00006443      48      0  func_00006414
0x00006444  0x00006473      48      0  func_00006444
0x00006474  0x00006517     164      4  func_00006474
0x00006518  0x00006601     234      4  func_00006518
0x00006602  0x000066db     218      0  func_00006602
0x000066dc  0x000067b7     220      0  func_000066dc
0x000067b8  0x00006855     158      0  func_000067b8
0x00006856  0x00006921     204      0  func_00006856
0x00006922  0x00006a07     230      0  func_00006922
0x00006a08  0x00006ac1     186      0  func_00006a08
0x00006ac2  0x00006b7b     186      0  func_00006ac2
0x00006b7c  0x00006c47     204      0  func_00006b7c
0x00006c48  0x00006d23     220      0  func_00006c48
0x00006d24  0x00006de3     192      0  func_00006d24
0x00006de4  0x00006e6b     136      0  func_00006de4
0x00006e6c  0x00006f93     296    512  func_00006e6c
0x00006f94  0x00007031     158     60  func_00006f94
0x00007032  0x00007071      64      4  func_00007032
0x00007072  0x0000709b      42      0  func_00007072
0x0000709c  0x0000746b     976     56  func_0000709c
0x0000746c  0x000075cb     352     24  func_0000746c
0x000075cc  0x000075f7      44      0  func_000075cc
0x000075e2  0x000075f7      22      0  func_000075e2
