=== i860 Kernel Contamination Survey ===

Block: ram  00000000-00030FFF  200,704 bytes

Start       End               Size  Type            i860 Insns
----------  ----------  ----------  --------------  ----------
00000000    00000FFF         4,096  NULL_PAD        1024
00001000    0000F7FF        59,392  I860_CODE       14059
0000F800    0000FFFF         2,048  ASCII_TEXT      404
00010000    000103FF         1,024  I860_CODE       245
00010400    000113FF         4,096  NULL_PAD        1005
00011400    000117FF         1,024  I860_CODE       234
00011800    00012BFF         5,120  NULL_PAD        1258
00012C00    00012FFF         1,024  I860_CODE       235
00013000    00013BFF         3,072  NULL_PAD        748
00013C00    000143FF         2,048  I860_CODE       466
00014400    00015BFF         6,144  NULL_PAD        1536
00015C00    000167FF         3,072  I860_CODE       745
00016800    00017FFF         6,144  NULL_PAD        1536
00018000    0001D3FF        21,504  I860_CODE       4961
0001D400    0001D7FF         1,024  ASCII_TEXT      220
0001D800    0001DBFF         1,024  I860_CODE       225
0001DC00    0001FBFF         8,192  NULL_PAD        2043
0001FC00    00020BFF         4,096  I860_CODE       1024
00020C00    000227FF         7,168  ASCII_TEXT      1371
00022800    00023BFF         5,120  NULL_PAD        1280
00023C00    000263FF        10,240  I860_CODE       2184
00026400    00027BFF         6,144  NULL_PAD        1536
00027C00    00027FFF         1,024  I860_CODE       239
00028000    000283FF         1,024  NULL_PAD        256
00028400    00028BFF         2,048  I860_CODE       463
00028C00    000293FF         2,048  NULL_PAD        507
00029400    000297FF         1,024  I860_CODE       229
00029800    00029BFF         1,024  NULL_PAD        256
00029C00    00029FFF         1,024  I860_CODE       225
0002A000    0002ABFF         3,072  NULL_PAD        749
0002AC00    0002AFFF         1,024  ASCII_TEXT      212
0002B000    0002DBFF        11,264  NULL_PAD        2811
0002DC00    0002DFFF         1,024  MACHO_X86       250
0002E000    0002E7FF         2,048  I860_CODE       499
0002E800    0002EFFF         2,048  NULL_PAD        512
0002F000    0002FFFF         4,096  I860_CODE       908
00030000    00030FFF         4,096  ASCII_TEXT      748

--- Type Summary for ram ---
Type                 Bytes       %  i860 Insns
--------------  ----------  ------  ----------
I860_CODE          115,712   57.7%  26941
NULL_PAD            68,608   34.2%  17057
ASCII_TEXT          15,360    7.7%  2955
MACHO_X86            1,024    0.5%  250
TOTAL              200,704  100.0%  47203


=== Per-Block Detail (1KB) ===
Address     Type            i860  asc%  nul%  m68k   x86  ent
----------  --------------  ----  ----  ----  ----  ----  ---
00000000    NULL_PAD         256    3%   86%     0     1  1.3
00000400    NULL_PAD         256    0%  100%     0     0  0.0
00000800    NULL_PAD         256    0%  100%     0     0  0.0
00000C00    NULL_PAD         256    0%  100%     0     0  0.0
00001000    I860_CODE        237   27%   20%    17     5  5.9
00001400    I860_CODE        239   29%   27%    16     4  5.5
00001800    I860_CODE        248   16%   39%     1    13  4.4
00001C00    I860_CODE        253   20%   37%     0     8  4.6
00002000    I860_CODE        248   19%   30%     4     1  4.8
00002400    I860_CODE        251   21%   31%     2     2  4.9
00002800    I860_CODE        247   19%   26%    15     3  5.3
00002C00    I860_CODE        240   19%   20%     6     3  5.7
00003000    I860_CODE        247   20%   24%     9     2  5.5
00003400    I860_CODE        247   22%   23%     7     1  5.4
00003800    I860_CODE        247   20%   25%     5     2  5.5
00003C00    I860_CODE        249   22%   25%     1     2  5.5
00004000    I860_CODE        242   40%   17%    23    33  5.6
00004400    I860_CODE        243   30%   21%     7    11  5.4
00004800    I860_CODE        247   20%   30%     3     2  5.0
00004C00    I860_CODE        249   15%   32%     3     1  4.9
00005000    I860_CODE        242   21%   23%    10     6  5.6
00005400    I860_CODE        241   24%   23%     1     5  5.3
00005800    I860_CODE        233   26%   20%    13     4  5.7
00005C00    I860_CODE        230   24%   19%    12     5  5.9
00006000    I860_CODE        248   22%   21%     6     3  5.4
00006400    I860_CODE        243   19%   20%     4     0  5.6
00006800    I860_CODE        248   19%   11%     4     4  5.9
00006C00    I860_CODE        244   21%   16%     4     5  5.8
00007000    I860_CODE        246   20%   17%     5     2  5.9
00007400    I860_CODE        238   19%   18%     5     9  5.9
00007800    I860_CODE        244   19%   25%     5    12  5.5
00007C00    I860_CODE        249   18%   26%     2     6  4.9
00008000    I860_CODE        244   21%   19%     0     5  5.8
00008400    I860_CODE        245   19%   23%     2    60  5.5
00008800    I860_CODE        250   19%   19%     6     5  5.8
00008C00    I860_CODE        239   21%   19%     0     5  5.3
00009000    I860_CODE        251   16%   27%     4     1  5.4
00009400    I860_CODE        240   21%   23%     6    13  5.7
00009800    I860_CODE        240   19%   15%     2     5  5.8
00009C00    I860_CODE        226   22%   20%     2     7  5.8
0000A000    I860_CODE        241   19%   19%     1    10  5.7
0000A400    I860_CODE        235   18%   19%     2     4  5.4
0000A800    I860_CODE        238   20%   24%     7     8  5.3
0000AC00    I860_CODE        238   20%   25%     6     6  5.4
0000B000    I860_CODE        236   18%   23%     2     7  5.5
0000B400    I860_CODE        237   20%   20%     0     1  5.6
0000B800    I860_CODE        245   21%   18%     0     1  5.7
0000BC00    I860_CODE        241   22%   20%     0     0  5.7
0000C000    I860_CODE        241   22%   20%     0     0  5.7
0000C400    I860_CODE        243   23%   18%     0     5  5.5
0000C800    I860_CODE        243   22%   19%     0     2  5.6
0000CC00    I860_CODE        241   21%   18%     0     4  5.6
0000D000    I860_CODE        245   17%   24%     6     9  5.6
0000D400    I860_CODE        236   22%   22%    19    13  5.7
0000D800    I860_CODE        241   16%   23%     6    18  5.7
0000DC00    I860_CODE        250   21%   21%     8     3  5.6
0000E000    I860_CODE        240   17%   24%     1     7  5.5
0000E400    I860_CODE        233   19%   27%     2     3  5.2
0000E800    I860_CODE        238   23%   21%     3     8  5.4
0000EC00    I860_CODE        239   21%   22%     6     8  5.7
0000F000    I860_CODE        243   22%   22%     8    12  5.6
0000F400    I860_CODE        240   19%   23%     5     7  5.5
0000F800    ASCII_TEXT       203   78%    5%    17     1  5.5
0000FC00    ASCII_TEXT       201  100%    0%    18     0  4.5
00010000    I860_CODE        245   29%   68%     0     0  2.5
00010400    NULL_PAD         256    0%  100%     0     0  0.0
00010800    NULL_PAD         249   16%   83%     1     0  1.4
00010C00    NULL_PAD         250   18%   81%     2     0  1.5
00011000    NULL_PAD         250    9%   84%     0     0  1.4
00011400    I860_CODE        234   31%   27%     1     0  5.1
