rank,score,name,file,line,lang,mmio_consts,calls,string_literals,imm_consts
1,78,_start,NDkernel/ND/bootstrap.s,23,asm,3,1,0,10
2,74,pstart,NDkernel/ND/locore.s,72,asm,3,0,0,6
3,73,AllocScrnSlot,PSDriver/devpattern/patternimpl.c,238,c,2,46,1,69
4,68,fault,NDkernel/kdb/kdb_main.c,324,c,2,9,2,20
5,54,CompactBM,PSDriver/device/maskcache.c,135,c,0,18,4,0
6,52,abrev,NDkernel/kdb/bits.c,102,c,1,23,26,3
7,52,CheckBM,PSDriver/device/maskcache.c,57,c,0,8,2,0
8,52,readPrebuiltFile,PSDriver/device/nextprebuilt.c,77,c,0,11,2,1
9,51,Copyright,PSDriver/device/halftone.c,3,c,0,14,1,0
10,50,BoxTrapCompare,PSDriver/device/mark.c,259,c,0,12,0,0
11,50,MCGetMask,PSDriver/device/maskcache.c,331,c,0,21,0,2
12,50,buildPrebuilt,PSDriver/device/nextprebuilt.c,184,c,0,9,0,1
13,50,main,PSDriver/server/server.c,47,c,0,17,9,0
14,50,PSRangeCheck,PSDriver/server/support.c,95,c,0,21,6,0
15,47,CantHappen,PSDriver/server/support.c,60,c,0,9,3,0
16,46,config_memory,NDkernel/ND/i860_init.c,346,c,0,12,6,0
17,46,PageOutDaemon,NDkernel/ND/pmap.c,780,c,0,15,6,0
18,46,BlackMasksMark,PSDriver/device/blackmask.c,46,c,0,7,0,4
19,46,PSDeviceInit,PSDriver/device/cpsdevpak.c,49,c,0,7,0,0
20,46,CreateNullDevice,PSDriver/device/nulldev.c,69,c,0,7,0,0
21,46,ps_rbm_composite_bm,PSDriver/server/process.c,58,c,0,9,2,0
22,46,video_init,PSDriver/server/video.c,33,c,0,8,2,1
23,45,pmap_clean,NDkernel/ND/pmap.c,603,c,0,9,5,0
24,45,ImStretch,PSDriver/server/imstretch.c,52,c,0,11,1,10
25,44,BYTES_ON_QUEUE,NDkernel/ND/messages.c,143,c,0,11,4,0
26,43,i860_start,NDkernel/ND/i860_init.c,206,c,0,15,3,0
27,43,vm_fault,NDkernel/ND/vm_fault.c,22,c,0,14,3,0
28,42,dumpkalloc,NDkernel/ND/kalloc.c,33,c,0,14,2,0
29,42,pmap_translation_valid,NDkernel/ND/pmap.c,122,c,0,29,2,0
30,42,NDDeviceInit,PSDriver/device/devinit.c,30,c,0,6,0,0
31,41,early_start,NDkernel/ND/i860_init.c,163,c,0,7,5,0
32,41,KernelDebugEnabled,NDkernel/ND/malloc.c,64,c,0,13,1,0
33,40,main,NDkernel/ND/build_pte.c,94,c,0,8,0,1
34,40,ServiceMsg_receive,NDkernel/ND/messages.c,251,c,0,9,0,0
35,40,msg_send,NDkernel/ND/messages.c,376,c,0,8,0,0
36,40,msg_receive,NDkernel/ND/messages.c,419,c,0,10,0,0
37,40,i860_protection_init,NDkernel/ND/pmap.c,42,c,0,10,0,0
38,40,idle,NDkernel/ND/switch.c,21,c,0,21,0,0
